pais,product_id,total_vendido
United States,b'\x01y\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01{\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x81\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x87\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x98\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x99\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\x9a\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xa0\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xa1\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xa2\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xa3\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xa4\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xa6\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xad\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xb0\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xb5\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xbd\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xbf\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xc3\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xc4\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xc6\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xc9\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xca\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xcc\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xcd\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xce\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xcf\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xd1\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xd2\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xe2\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xe8\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xed\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf2\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf3\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf4\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf6\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf6\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf7\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf7\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xf8\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x01\xfa\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x02\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x04\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x05\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x05\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x06\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x08\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x0c\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x0e\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x0f\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x0f\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x19\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x1a\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x1a\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x1b\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x1d\x01\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x1d\x02\x00\x00\x00\x00\x00',0.0
United States,b'\x02\x1f\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02 \x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02 \x02\x00\x00\x00\x00\x00',0.0
United States,"b'\x02""\x02\x00\x00\x00\x00\x00'",0.0
United States,b'\x02#\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02$\x00\x00\x00\x00\x00\x00',0.0
United States,b'\x02%\x01\x00\x00\x00\x00\x00',0.0
